project,model,run_id,status,psnr_diff,ssim_diff,lpips_diff,psnr_model,psnr_base,ssim_model,ssim_base,lpips_model,lpips_base,loss_diff,gaussian_diff,time_diff_s,geometry_lr_mult,appearance_lr_mult,densification_mult
Tiburon_Angel_Islands_State_Park_Split_group_3,model_ridge_20260710_203218_final_offline_data_june_27-training-data-ridge,tiburon_angel_islands_state_park_split_group_3_phase2_run1_27-training-_20260711_111625,success,0.07873344421386719,0.007959902286529541,0.022657454013824463,20.269426345825195,20.190692901611328,0.6456999778747559,0.6377400755882263,0.49173033237457275,0.5143877863883972,0.005083799362182617,-207050,-70.29754209518433,1.8413084812479656,1.181155952824815,1.4299999938913033
morice,model_mlp_20260710_205501_final_offline_data_june_27-training-data-mlp,morice_phase2_run1_27-training-_20260711_112745,success,0.03174591064453125,0.0026537179946899414,0.006821960210800171,28.526243209838867,28.494497299194336,0.802736222743988,0.8000825047492981,0.2671422064304352,0.27396416664123535,-0.00024472177028656006,-228392,-47.7333722114563,1.6478653521134985,1.0570667535447724,1.43
morice,model_ridge_20260710_203218_final_offline_data_june_27-training-data-ridge,morice_phase2_run1_27-training-_20260711_113905,success,0.2194232940673828,0.017355680465698242,0.03532785177230835,28.71392059326172,28.494497299194336,0.8174381852149963,0.8000825047492981,0.238636314868927,0.27396416664123535,-0.00024805590510368347,-57627,2.4304823875427246,2.0574599129471225,1.181155952824815,1.4299999938913033
uncovice,model_mlp_20260710_205501_final_offline_data_june_27-training-data-mlp,uncovice_phase2_run1_27-training-_20260711_115117,success,-0.4169483184814453,-0.005799055099487305,-0.013247370719909668,22.230300903320312,22.647249221801758,0.6527457237243652,0.6585447788238525,0.5257878303527832,0.5125404596328735,0.007943250238895416,-125895,-24.56674885749817,1.319812003075138,1.0570667535447724,1.43
uncovice,model_ridge_20260710_203218_final_offline_data_june_27-training-data-ridge,uncovice_phase2_run1_27-training-_20260711_120210,success,-0.5197105407714844,-0.006996333599090576,-0.0026374459266662598,22.127538681030273,22.647249221801758,0.651548445224762,0.6585447788238525,0.5151779055595398,0.5125404596328735,0.019281603395938873,-78725,-14.84137773513794,2.2989853881058138,1.181155952824815,1.4299999938913033
12-Maisonneuve Market,model_compact-ridge_20260712_131550_final_offline_data_june_27-training-data-compact-ridge,12_maisonneuve_market_phase2_run1_27-training-_20260712_145054,success,0.003894805908203125,-0.001925349235534668,0.001848071813583374,17.102155685424805,17.0982608795166,0.651328444480896,0.6532537937164307,0.47210851311683655,0.4739565849304199,0.007623352110385895,-79017,-1.423851490020752,1.4747448768733287,1.0570667549471469,1.4299999938913033
4-Thomas-More-Church,model_compact-ridge_20260712_131550_final_offline_data_june_27-training-data-compact-ridge,4_thomas_more_church_phase2_run1_27-training-_20260712_151440,success,-0.16714096069335938,0.005073368549346924,0.00757598876953125,21.700300216674805,21.867441177368164,0.785186767578125,0.7801133990287781,0.2944187819957733,0.30199477076530457,-0.015377052128314972,-154201,16.389382123947144,1.4747448768733287,1.181155952824815,1.4299999938913033
Brasov,model_compact-ridge_20260712_131550_final_offline_data_june_27-training-data-compact-ridge,brasov_phase2_run1_27-training-_20260712_153719,success,0.16900253295898438,0.014368414878845215,0.026197731494903564,23.53123664855957,23.362234115600586,0.8166520595550537,0.8022836446762085,0.1663448065519333,0.19254253804683685,-0.0005629844963550568,-440540,5.774930000305176,2.0574599129471225,1.0570667549471469,1.4299999938913033
Changu,model_compact-ridge_20260712_131550_final_offline_data_june_27-training-data-compact-ridge,changu_phase2_run1_27-training-_20260712_163709,success,0.15415573120117188,0.024268507957458496,0.054732829332351685,20.13450813293457,19.9803524017334,0.6463725566864014,0.6221040487289429,0.46340522170066833,0.51813805103302,0.012988761067390442,895273,154.32263708114624,1.6478653614491223,1.3198119970798372,0.7000000027571127
Chatteau_circle_60_and_45_degrees,model_compact-ridge_20260712_131550_final_offline_data_june_27-training-data-compact-ridge,chatteau_circle_60_and_45_degrees_phase2_run1_27-training-_20260712_171450,success,0.3022003173828125,0.08493208885192871,0.19725918769836426,23.677627563476562,23.37542724609375,0.6524050235748291,0.5674729347229004,0.25201237201690674,0.449271559715271,-0.03324203938245773,1893738,344.00287342071533,2.0574599129471225,1.4747448768733287,0.7000000027571127
