project,model,psnr_diff,ssim_diff,lpips_diff,psnr_model,psnr_base,ssim_model,ssim_base,lpips_model,lpips_base,loss_diff,gaussian_diff,time_diff_s,geometry_lr_mult,appearance_lr_mult,densification_mult
Changu,model_ridge_20260710_203218_final_offline_data_june_27-training-data-ridge,-0.0524749755859375,-0.006169259548187256,0.005747616291046143,19.92787742614746,19.9803524017334,0.6159347891807556,0.6221040487289429,0.5123904347419739,0.51813805103302,-0.023544803261756897,-129777,-63.49908757209778,1.0,1.0,1.0
Chatteau_circle_60_and_45_degrees,model_ridge_20260710_203218_final_offline_data_june_27-training-data-ridge,0.09874534606933594,0.01584261655807495,0.017776399850845337,23.474172592163086,23.37542724609375,0.5833155512809753,0.5674729347229004,0.43149515986442566,0.449271559715271,-0.007078811526298523,-62547,-7.279577732086182,1.0,1.0,1.0
DJI_202402171501_006_KTM20-oblique,model_ridge_20260710_203218_final_offline_data_june_27-training-data-ridge,-0.23094558715820312,-0.0028249025344848633,0.018191277980804443,22.440515518188477,22.67146110534668,0.7421225905418396,0.7449474930763245,0.2908627390861511,0.30905401706695557,-0.0036203861236572266,-907199,-248.40569233894348,1.0,1.0,1.0
Kninice_Church_of_the_Exaltation_of_the_Holy_Cross,model_ridge_20260710_203218_final_offline_data_june_27-training-data-ridge,-0.3582439422607422,0.0030229687690734863,0.001093059778213501,20.584716796875,20.942960739135742,0.6855641007423401,0.6825411319732666,0.4524582028388977,0.4535512626171112,-0.014364689588546753,-76413,-22.93395495414734,1.0,1.0,1.0
Pix4d_forensic,model_ridge_20260710_203218_final_offline_data_june_27-training-data-ridge,0.40448951721191406,0.03312218189239502,0.05737745761871338,24.32404899597168,23.919559478759766,0.5541917085647583,0.5210695266723633,0.5915946960449219,0.6489721536636353,-0.007009714841842651,16235,-7.605375051498413,1.0,1.0,1.0
Telc_sv_Jakub_March_18,model_mlp_20260710_205501_final_offline_data_june_27-training-data-mlp,-0.1556072235107422,0.0016349554061889648,0.007165104150772095,20.983413696289062,21.139020919799805,0.7091124057769775,0.7074774503707886,0.4246748089790344,0.4318399131298065,-0.0008544884622097015,-258966,-38.031484603881836,1.0,1.0,1.0
Telc_sv_Jakub_March_18,model_ridge_20260710_203218_final_offline_data_june_27-training-data-ridge,-0.058368682861328125,0.008118033409118652,0.01849311590194702,21.080652236938477,21.139020919799805,0.7155954837799072,0.7074774503707886,0.4133467972278595,0.4318399131298065,-0.0039086900651454926,-171661,-50.34743595123291,1.0,1.0,1.0
Tiburon_Angel_Islands_State_Park_Split_group_3,model_mlp_20260710_205501_final_offline_data_june_27-training-data-mlp,-0.09210777282714844,-0.0030249357223510742,0.012630224227905273,20.09858512878418,20.190692901611328,0.6347151398658752,0.6377400755882263,0.5017575621604919,0.5143877863883972,-0.0037154853343963623,-317716,-74.1573052406311,1.0,1.0,1.0
Tiburon_Angel_Islands_State_Park_Split_group_3,model_ridge_20260710_203218_final_offline_data_june_27-training-data-ridge,0.07873344421386719,0.007959902286529541,0.022657454013824463,20.269426345825195,20.190692901611328,0.6456999778747559,0.6377400755882263,0.49173033237457275,0.5143877863883972,-0.005083799362182617,-207050,-73.1699230670929,1.0,1.0,1.0
morice,model_mlp_20260710_205501_final_offline_data_june_27-training-data-mlp,0.03174591064453125,0.0026537179946899414,0.006821960210800171,28.526243209838867,28.494497299194336,0.802736222743988,0.8000825047492981,0.2671422064304352,0.27396416664123535,0.00024472177028656006,-228392,-46.85834240913391,1.0,1.0,1.0
morice,model_ridge_20260710_203218_final_offline_data_june_27-training-data-ridge,0.2194232940673828,0.017355680465698242,0.03532785177230835,28.71392059326172,28.494497299194336,0.8174381852149963,0.8000825047492981,0.238636314868927,0.27396416664123535,0.00024805590510368347,-57627,4.7552008628845215,1.0,1.0,1.0
uncovice,model_mlp_20260710_205501_final_offline_data_june_27-training-data-mlp,-0.4169483184814453,-0.005799055099487305,-0.013247370719909668,22.230300903320312,22.647249221801758,0.6527457237243652,0.6585447788238525,0.5257878303527832,0.5125404596328735,-0.007943250238895416,-125895,-24.972776174545288,1.0,1.0,1.0
uncovice,model_ridge_20260710_203218_final_offline_data_june_27-training-data-ridge,-0.5197105407714844,-0.006996333599090576,-0.0026374459266662598,22.127538681030273,22.647249221801758,0.651548445224762,0.6585447788238525,0.5151779055595398,0.5125404596328735,-0.019281603395938873,-78725,-16.166070222854614,1.0,1.0,1.0
12-Maisonneuve Market,model_compact-ridge_20260712_131550_final_offline_data_june_27-training-data-compact-ridge,0.003894805908203125,-0.001925349235534668,0.001848071813583374,17.102155685424805,17.0982608795166,0.651328444480896,0.6532537937164307,0.47210851311683655,0.4739565849304199,-0.007623352110385895,-79017,-1.519580602645874,1.0,1.0,1.0
12-Maisonneuve Market,model_compact-mlp_20260712_131618_final_offline_data_june_27-training-data-compact-mlp,0.028537750244140625,-0.02285897731781006,-0.03313547372817993,17.126798629760742,17.0982608795166,0.6303948163986206,0.6532537937164307,0.5070920586585999,0.4739565849304199,0.027819134294986725,-71365,63.03148412704468,1.0,1.0,1.0
4-Thomas-More-Church,model_compact-ridge_20260712_131550_final_offline_data_june_27-training-data-compact-ridge,-0.16714096069335938,0.005073368549346924,0.00757598876953125,21.700300216674805,21.867441177368164,0.785186767578125,0.7801133990287781,0.2944187819957733,0.30199477076530457,0.015377052128314972,-154201,18.05696439743042,1.0,1.0,1.0
4-Thomas-More-Church,model_compact-mlp_20260712_131618_final_offline_data_june_27-training-data-compact-mlp,-0.043354034423828125,-0.01632523536682129,-0.007992386817932129,21.824087142944336,21.867441177368164,0.7637881636619568,0.7801133990287781,0.3099871575832367,0.30199477076530457,0.04003167152404785,-117480,72.74945068359375,1.0,1.0,1.0
Brasov,model_compact-ridge_20260712_131550_final_offline_data_june_27-training-data-compact-ridge,0.16900253295898438,0.014368414878845215,0.026197731494903564,23.53123664855957,23.362234115600586,0.8166520595550537,0.8022836446762085,0.1663448065519333,0.19254253804683685,0.0005629844963550568,-440540,3.1043717861175537,1.0,1.0,1.0
